NBA;Quel basketteur américain a été champion NBA en 1998 pour la sixième fois de sa carrière ?;Patrick Ewing;0;Karl Malone;0;Michael Jordan;1;Charles Barkley;0;
NBA;Dans quelle pays est né le joueur de basket-ball professionnel Tony Parker ?;La France;0;La Belgique;1;Les États-Unis;0;La Pologne;0;
NBA;Qui a été élu joueur de la décennie 2000 suite à un sondage du site officiel NBA ?;Kobe Bryant;1;Ron Harper;0;Derek Fisher;0;Rick Fox;0;
NBA;Quel concours de dunks est organisé par la NBA durant le NBA All-Star Week-end ?;Skills Challenge;0;Three-point Shootout;0;Slam Dunk Contest;1;All-Star Game;0;
NBA;Quel basketteur américain a réalisé en 2000 un 360 degrés inversé mythique ?;Marc Gasol;0;Jarnell Stokes;0;Andrew Harrison;0;Vince Carter;1;
NBA;Quel joueur de NBA se définit lui-même comme un « viking africain » ?;Pau Gasol;0;Joakim Noah;1;Derrick Rose;0;Aaron Brooks;0;
NBA;Quel événement annuel majeur de la NBA est comparable à une bourse de joueurs ?;Les playoffs;0;La franchise;0;La draft;1;Le ballotage;0;
NBA;Combien de titres de champion NBA Michael Jordan a-t-il obtenu ?;Six;1;Sept;0;Cinq;0;Quatre;0;
NBA;Qui est le premier joueur français à avoir été sacré champion NBA ?;Paul Pierce;0;Tony Parker;1;Tim Duncan;0;Joe Dumars;0;
NBA;Lequel de ces joueurs est connu pour avoir marqué 100 points dans un match NBA ?;Michael Jordan;0;Larry Bird;0;Wilt Chamberlain;1;Magic Earvin Johnson;0;
NBA;En NBA, quel meneur de Cleveland a été élu « meilleure révélation 2012 » ?;LeBron James;0;Joe Harris;0;James Jones;0;Kyrie Irving;1;
NBA;Qui a élu deux fois meilleur joueur de la NBA, en 2005 et 2006 ?;Steve Nash;1;Marlon Garnett;0;Jeff Brown;0;Dana Jones;0;
NBA;En NBA, quel dunk a été rendu très populaire grâce à Dominique Wilkins ?;Poster dunk;0;Windmill;1;Tomahawk;0;Rider;0;
NBA;Quel joueur américain de basket-ball a été élu meilleur marqueur NBA en 2010 ?;Kevin Durant;1;Shaquille O Neal;0;Doc Rivers;0;Jeremy Lamb;0;
NBA;Quel événement annuel majeur de la NBA est organisé à la fin du mois de juin ?;Le ballotage;0;La draft;1;Les playoffs;0;La franchise;0;
NBA;Quelle équipe a remporté en 2012 le titre NBA avec un succès étourdissant ?;Pistons de Détroit;0;Nets de Brooklyn;0;Celtics de Boston;0;Heat de Miami;1;
NBA;Quel ailier français a signé en 2012 un contrat NBA de 46 millions avec Portland ?;Jeremy Lamb;0;Nicolas Batum;1;Elliot Williams;0;Kemba Walker;0;
NBA;Quelle équipe de basket-ball a remporté les Playoffs 2009 en NBA ?;San Antonio Spurs;0;Los Angeles Lakers;1;Orlando Magic;0;Chicago Bulls;0;
NBA;Quel est le véritable prénom du basketteur américain surnommé « Magic Johnson » ?;Earvin;1;Isiah;0;Kevin;0;Chris;0;
NBA;Qui a été élu meilleur sixième homme de la saison 2011-2012 de NBA ?;Terrence Jones;0;Corey Brewer;0;Clint Capela;0;James Harden;1;
NBA;Avec quelle équipe Steve Nash, meneur des NBA Suns, a-t-il signé pour 3 ans en 2012 ?;Les Clippers;0;Les Suns;0;Les Lakers;1;Les Nuggets;0;
NBA;Quel basketteur français a été champion NBA en 2011 avec Dallas ?;George Hill;0;Lavoy Allen;0;Ian Mahinmi;1;Monta Ellis;0;
NBA;Quel ancien joueur de basket-ball américain était surnommé « Big dog » ?;Glenn Robinson;1;Brian Evans;0;Bobby Jackson;0;Brian Cook;0;
HEROS MARVEL;Dans quelles aventures retrouve-t-on les personnages de Loïs et Clark ?;Superman;1;Spider-Man;0;Batman;0;Hulk;0;
HEROS MARVEL;Dans les X-Men, quelle substance constitue le squelette de Wolverine ?;Vibranium;0;Cavorite;0;Adamantium;1;Neutronium;0;
HEROS MARVEL;Quel est le nom de Spider-Man, apparu pour la première fois en 1962 ?;John Parker;0;Peter Parker;1;Tom Parker;0;Alan Parker;0;
HEROS MARVEL;Quel jeune garçon est le principal compagnon d armes de Batman ?;Tim Drake;0;Mystek;0;Superboy;0;Robin;1;
HEROS MARVEL;Quel super-héros ne se sépare jamais de son marteau forgé par les nains ?;Thor;1;Venom;0;Flash;0;Bizarro;0;
HEROS MARVEL;Quelle couleur est associée à Hulk, qui peut être traduit par « mastodonte » ?;Le rouge;0;Le jaune;0;Le vert;1;Le bleu;0;
HEROS MARVEL;Quel super-héros à la force surhumaine ressemble à un être de pierre ?;Plastic Man;0;La Chose;1;Superboy;0;Hawkman;0;
HEROS MARVEL;Mis à part Firestorm, quel super-héros peut créer à volonté une enveloppe de feu autour de lui ?;Mr Fantastique;0;Gambit;0;La Torche Humaine;1;Blade;0;
HEROS MARVEL;Quel super-héros porte un costume inspiré du drapeau américain ?;Captain America;1;Blade;0;Iron Man;0;Tigra;0;
HEROS MARVEL;Si je vous dis Bruce Wayne, à qui pensez-vous immédiatement ?;Superman;0;Batman;1;Spider-Man;0;Hawkman;0;
HEROS MARVEL;Qui est Logan dans la bande dessinée de Marvel Comics X-Men ?;Caliban;0;Cyclope;0;Colossus;0;Wolverine;1;
HEROS MARVEL;De quel groupe de super-héros Mr Fantastique est-il membre ?;X-Men;0;Quatre Fantastiques;1;Thunderbolts;0;Illuminati;0;
HEROS MARVEL;Quel humain devient surpuissant grâce à une armure de haute technologie ?;Thor;0;Wolverine;0;Cyclope;0;Iron Man;1;
HEROS MARVEL;Laquelle de ces propositions désigne un ennemi emblématique de Spider-Man ?;Le Lézard;0;Le Bouffon vert;1;Thanos;0;Voïd;0;
HEROS MARVEL;Quelle super-héroïne portait à ses débuts un masque de chat avec une robe ?;Catwoman;1;Galactus;0;Loki;0;Séléné;0;
HEROS MARVEL;Pour quel journal travaille Clark Kent, alias Superman ?;The Daily Planet;1;The Daily Press;0;The New Daily;0;The Daily News;0;
HEROS MARVEL;Quel super-héros ayant perdu la vue possède des organes sensoriels développés ?;Captain America;0;Daredevil;1;Superman;0;Flash;0;
HEROS MARVEL;Qui, dans les Comics, doit garder son corps à une température extrêmement basse ?;Bizarro;0;Cyborg;0;Mister Freeze;1;Daredevil;0;
HEROS MARVEL;Quel célèbre archer du monde DC Comics est inspiré de Robin des Bois ?;Blade;0;Iron Man;0;Green Arrow;1;Tigra;0;
HEROS MARVEL;Quel super-vilain de DC Comics est en fait un clone raté de Superman ?;Venom;0;Blade;0;Galactus;0;Bizarro;1;
HEROS MARVEL;Quelle super-héroïne issue d une tribu d amazones possède un lasso magique ?;Catwoman;0;Ultron;0;Wonder Woman;1;Bullseye;0;
HEROS MARVEL;Quel super-héros créé par Marvel Comics est aveugle de naissance ?;Cyclope;0;Flash;0;Thor;0;Stick;1;
HEROS MARVEL;Combien compte-t-on environ de héros dans les Comics de Marvel ?;5 000;1;4 000;0;3 000;0;2 000;0;
HEROS MARVEL;Quelle héroïne de Daredevil est une tueuse professionnelle ?;Wonder Woman;0;Catwoman;0;Elektra;1;Ultron;0;
HEROS MARVEL;Quel est le surnom de Joseph Green, super-héros créé par Marvel Comics ?;Flash;0;Gauntlet;1;Hulk;0;Thor;0;
CULTURE GENERALE;Quel film à succès a réuni sur les écrans Sean Connery et Christophe Lambert ?;Subway;0;Mad Max;0;Highlander;1;Greystoke;0;
CULTURE GENERALE;Quel pays, dont les premiers habitants étaient des Newars, a pour capitale Katmandou ?;Népal;1;Tibet;0;Corée du Nord;0;Pakistan;0;
CULTURE GENERALE;Dans quel film John Travolta incarne-t-il un ange tombé du ciel ?;Johnny;0;Michael;1;Sam;0;Jerry;0;
CULTURE GENERALE;Pour quel auteur-compositeur-interprète français aux 40 millions de disques vendus Capri est-il fini ?;Salvatore Adamo;0;Serge Lama;0;Hervé Vilard;1;Charles Aznavour;0;
CULTURE GENERALE;Quel peintre, né en 1844, est également appelé par beaucoup le Douanier ?;Pablo Picasso;0;Edgar Degas;0;Henri Rousseau;1;Salvador Dali;0;
CULTURE GENERALE;Quel personnage imaginaire fut popularisé par le roman de E.R. Burroughs et par le cinéma ?;King-Kong;0;Tarzan;1;Nessie;0;Le Yéti;0;
CULTURE GENERALE;Quelle est la seule valeur à la roulette à porter la couleur verte ?;Quarante;0;Cinquante;0;Treize;0;Zéro;1;
CULTURE GENERALE;Quelle est la race du chien de Columbo, l inspecteur très obstiné et perspicace de la télévision ?;Beagle;0;Bichon;0;Barbet;0;Basset;1;
CULTURE GENERALE;Quelle est la plus petite unité de mémoire utilisable sur un ordinateur ?;Bit;1;Byte;0;Giga;0;Méga;0;
CULTURE GENERALE;Dans le langage familier, comment appelle-t-on la dent du petit enfant ?;Menotte;0;Bouillotte;0;Quenotte;1;Marmotte;0;
CULTURE GENERALE;Où se situe la célèbre base navale américaine de Guantanamo, réputée pour sa sévérité ?;Mexique;0;Hawaii;0;Cuba;1;Paraguay;0;
CULTURE GENERALE;Quelle est la spécialité du sportif tunisien Oussama Mellouli ?;Natation;1;Marathon;0;Football;0;Boxe;0;
CULTURE GENERALE;Quel acteur français a remporté le premier rôle dans le film Le Guépard ?;Claude Brasseur;0;Jean Gabin;0;Alain Delon;1;Jean Reno;0;
CULTURE GENERALE;Qui était le compagnon de Paul de Tarse, désigné aussi sous le nom de saint Paul ?;Saint Matthieu;0;Saint Jean;0;Saint Marc;0;Saint Luc;1;    
CULTURE GENERALE;Quel titre de noblesse est immédiatement inférieur à celui de comte ?;Vicomte;1;Marquis;0;Duc;0;Archiduc;0;
CULTURE GENERALE;Quelle est la capitale de la Nouvelle-Zélande, pays d Océanie au sud-ouest de l océan Pacifique ?;Wellington;1;Dublin;0;Sydney;0;Auckland;0;
CULTURE GENERALE;Quel film a réuni sur les écrans Isabelle Adjani et Sharon Stone ?;Les sorcières;0;Diabolique;1;Ange et Démon;0;Les ensorceleuses;0;
CULTURE GENERALE;Comment est également appelée la Transat Jacques Vabre ?;Route du rhum;0;Trophée du rhum;0;Route du café;1;Vendée Globe;0;
CULTURE GENERALE;Quel oiseau vivant dans l hémisphère nord nage le plus vite ?;Bécassine;0;Pingouin;1;Martinet;0;Pie;0;
CULTURE GENERALE;Quelle est la plus grosse des planètes de notre Système solaire ?;Saturne;0;Uranus;0;Neptune;0;Jupiter;1;
CULTURE GENERALE;Apparu il y a 450 millions d années, à quelle classe animale le scorpion appartient-il ?;Reptiles;0;Insectes;0;Arachnides;1;Mammifères;0;
CULTURE GENERALE;Quel frère d une actrice prénommée Mary a réalisé le film La fièvre du samedi soir ?;John Badham;1;John Travolta;0;John Payne;0;John Remezick;0;
CULTURE GENERALE;Au Moyen Âge, comment appelait-on un village fortifié ?;Château fort;0;Rempart;0;Bastide;1;Tour;0;
CULTURE GENERALE;Quelle ville du Kent est célèbre pour sa source miraculeuse ?;Gillingham;0;Dartford;0;Ramsgate;0;Tunbridge Wells;1;
CULTURE GENERALE;Quel apéritif à base de vin est aromatisé avec des plantes amères et toniques ?;Kokebok;0;Gentiane;0;Vermouth;1;Piccolo;0;
INOVATION;Qui a réussi à imposer la commercialisation de la poubelle ?;Eugène Poubelle;1;Louis Lépine;0;Bertrand Landrieu;0;Ferdinand Duval;0;
INOVATION;Laquelle de ces inventions ne porte pas le nom de son inventeur ?;Le colt;0;Le laser;1;La poubelle;0;Le macadam;0;
INOVATION;Quelle compétition prime chaque année les meilleures inventions françaises ?;Le Concours Lépine;1;Le Concours Edison;0;Le Concours Thomas;0;Le Concours Novastar;0;
INOVATION;Quel jeu de société international Chris Haney et Scott Abbott ont-ils créé ?;Monopoly;0;Puissance 4;0;Cluedo;0;Trivial Pursuit;1;
INOVATION;Qui a inventé la dynamite au moyen de la nitroglycérine ?;Albert Einstein;0;Lavoisier;0;Alfred Nobel;1;Isaac Newton;0;
INOVATION;Quel biologiste français a inventé la pasteurisation de la bière ?;Maurice Fontaine;0;Thomas Preat;0;Louis Pasteur;1;Laurent Chabry;0;
INOVATION;Quel inventeur italien a conçu à la fin du XVe siècle un canon et un parachute ?;Roberto Galletti;0;Ettore Bugatti;0;Léonard de Vinci;1;Alessandro Volta;0;
INOVATION;Selon des textes anciens, dans quel pays a-t-on inventé le cerf-volant ?;En Inde;0;Aux États-Unis;0;Au Mexique;0;En Chine;1;
INOVATION;En quelle année la couturière Mary Quant a-t-elle inventé la minijupe ?;1974;0;1954;0;1964;1;1944;0;
INOVATION;Quel billet le banquier Law a-t-il inventé au XVIIIe siècle ?;Le billet de loterie;0;Le billet de banque;1;Le billet doux;0;Le billet notarial;0;
INOVATION;Quel terme fut inventé en 1955 par le philologue français Jacques Perret ?;Transistor;0;Imprimante;0;Ampoule;0;Ordinateur;1;
INOVATION;Quel français a inventé le stéthoscope, alors une simple liasse de papiers roulés ?;Louis Pasteur;0;René Laennec;1;Léon Binet;0;Louis Braille;0;
INOVATION;Quelle grande marque inventa en 1936 le sac à dos aux nombreuses applications ?;Lafuma;1;Puma;0;Adidas;0;Lacoste;0;
INOVATION;Charles Darrow, inventeur du jeu de Monopoly, était lors de son invention en 1935...;Banquier;0;Agent immobilier;0;En prison;0;Au chômage;1;
INOVATION;Quel savant italien a découvert le principe de la pile électrique ?;Bugatti;0;Turriano;0;Marconi;0;Volta;1;
INOVATION;Quelle invention Nicolas Appert a-t-il mise au point pour les armées de Napoléon ?;La conserve;1;Le lit de camp;0;Le tissu imperméable;0;Le ceinturon;0;
INOVATION;Quelle marque a inventé la cassette audio ou minicassette ?;Sony;0;Philips;1;BASF;0;Fuji;0;
INOVATION;Quel célèbre médecin a conçu une table de correspondance entre les rêves et les organes ?;Pythagore;0;Pilate;0;Hippocrate;1;Icare;0;
INOVATION;À qui doit-on le prototype de la première dynamo industrielle réalisé en 1869 ?;Zénobe Gramme;1;John Cockerill;0;Frédéric Neuhaus;0;Victor Simon;0;
INOVATION;Quel physicien et mathématicien italien a inventé le baromètre en 1643 ?;Giuseppe Piazzi;0;Pietro Blaserna;0;Evangelista Torricelli;1;Orazio Grassi;0;
INOVATION;Quel ingénieur écossais fut le premier à utiliser le terme « cheval-vapeur » ?;Henry Dyer;0;Alexander Thom;0;James Watt;1;William Rankine;0;
INOVATION;Selon la légende, quelle spécialité le grec Aphtonite aurait-il inventée ?;Le boudin noir;1;Le saucisson;0;Les rillettes;0;Le jambon cru;0;
INOVATION;Quelle société a inventé (et pas breveté) la souris de votre ordinateur ?;Microsoft;0;Hewlett Packard;0;IBM;0;Xerox;1;
INOVATION;Quel docteur et professeur en médecine est surtout connu pour avoir inventé le basket-ball ?;Gordon Herbert;0;Martin Roy;0;James Naismith;1;Jacques Dextraze;0;
